# ASCENDA production migration ledger snapshot
# Read-only snapshot refreshed 2026-08-17 after main@f68b5c0efe3765af8ea8abd0760af29cd13928df
# format: version|name|statement_count|md5(array_to_string(statements, E'\n'))
20260815095037|f4_revenue_operations_core_v1|1|a2b043b91ca5cba12aba3d47997036b0
20260815095105|f4_cartera_candidates_v2|1|a8faee8cfec0be313d876d5c9d32940d
20260815134059|marketing_attribution_v2_exact_candidate_identity|1|a37a261c17f95a0c9f13f3388d04b04b
20260815135145|call_center_followups_v2_contract|1|8403254872a50d2d027b078879b7118d
20260815152341|fix_secure_write_v2_jsonb_match_count|1|11426c9268485511c70b00cc28319f46
20260815161920|fix_admin_home_lima_business_date|1|4ff6651f9acf4d603c4192cf81abd6fb
20260815163307|wa1_secure_gateway_v1|1|3217d2155b13c6023d47481e4bf35683
20260815165537|f4_revenue_production_canary_p0|1|90301e1f14ed006690e5affa1ac7ada4
20260815183105|wa2_conversation_live_inbox_v1|1|cc290733fe6c8c0c81b2525d5a42d187
20260815192012|f4_cartera_gateway_v2_auth_chain_hotfix|1|e5797a02bdd5a9aa2b08883611e335e1
20260815193102|wa3_boxes_routing_handoff_v1|1|93da6a9b3d1fd1ff5bec0aea78553e26
20260815211021|f4_revenue_operations_final_cutover_20260815|1|2e7716e497cd64f52b345ae9a05ee99d
20260815211255|wa4_ai_sales_router_v1|1|d575df4795a6182a5839ca76758368bd
20260815211320|groq_gpt_oss_model_refresh|1|25277daf5b917cc3f81b3ceec5d62e49
20260815215652|f5_historical_patient_identity_foundation_v1_20260815|1|c2480ec157d153221f37c746de6f1a3a
20260815215930|cia_phase16_email_governed_schema_v1|1|3c3704f0a291920aea185cf9effe49f8
20260815220040|cia_phase16_email_contracts_v1|1|469408332e983f87baa3231799aefac2
20260815220259|cia_phase16_email_delivery_contracts_v2|1|103c4e32a0fd4e52083571549e2b1bad
20260815220329|cia_phase16_email_render_context_hardening|1|5b5c310d89fdc8813802b8d021699b55
20260815220344|cia_phase16_verify_app_session_v1|1|6b0966b5446a817dbeadb2b951901a85
20260815220458|cia_phase16_legacy_email_acl_hardening|1|bbba3422f613fea24700e61611b62833
20260815221343|cia_phase16_resend_outcome_coverage_v3|1|d15577b78c30f16a0ad154209019b829
20260815224906|cia_phase16_live_canary_evidence_temp|1|e1376cd9406a73911c946aec7433a62a
20260815232737|f5_historical_patient_identity_private_ingest_v1|1|784f5210bac2db97dbb0e7b5df3494ee
20260815234408|integration_secret_boundary_v1|1|4ca29ebbfe3c492aecd469351e449e81
20260816003421|f5_historical_patient_identity_compact_preview_v1_20260815|1|17b5262794985d8a94f5ff29a83432a2
20260816003440|f5_cluster_fieldwise_enrichment_v1_20260815|1|ec886c6e1951340066dec78287604688
20260816003807|f5_encrypted_transport_v1_20260815|1|ee5cc3c55297c5b13ce2b3011fb930c5
20260816004943|f5_ciphertext_transport_insert_window_20260815|1|5613494b72baf81939c1c4b02a82f4ad
20260816005038|f5_ciphertext_transport_insert_window_close_20260815|1|12733bde250bf3d4bb698a07cb6ba56d
20260816005058|f5_ciphertext_process_window_open_20260815|1|d3deb91c94c97111224bd4c29baa8b1c
20260816005121|f5_ciphertext_process_window_close_20260815|1|8d136a7327d069b74ae1345972da497a
20260816005222|f5_safe_preview_metrics_v1_20260815|1|b8830f9de1e325fbdcb682e6df8510e1
20260816005245|f5_safe_preview_metrics_close_20260815|1|03e2283ccc1e5ec4640f4dc36919f5ad
20260816005349|f5_encrypted_transport_cleanup_20260815|1|f6ac3dc7009d94f60b7f802c78094389
20260816013341|f5_ephemeral_cipher_recovery_staging_20260815|1|c65761a5d1ddca074ad088c2d38cf304
20260816014723|f5_ephemeral_cipher_recovery_rpc_20260815|1|60845a0854db250a7a2b0cf75447f0c3
20260816020011|hotfix_auth_v3_resend_private_vault|1|32d66b15a169fd3c46455bf889e55afa
20260816020627|f5_cleanup_ephemeral_transport_20260815|1|92268ac6ce88e0240f850fd0fcf2735b
20260816022053|f5_review_apply_v1_20260816|1|4527bf24650a99e728068eab097ddbed
20260816031658|cia_phase17_multichannel_contracts_v1|1|83b904fd61470df3a317f72a96418267
20260816093639|f17_legacy_whatsapp_acl_p0|1|fed4a79864ee95ac98bbf2d66be07057
20260817000618|sentinel_f8_incident_engine|1|1e99619578cd1768084967181fb22a36
20260817013916|sentinel_f9_alert_outbox|1|36deb43853f3779095aaa74e5ccc7aa6
20260817014618|sentinel_f9_digest_incident_fk_index|1|04a5d3465e1a8c629bfb95a8f7747759
20260817161248|f5_private_recovery_transport_bridge|1|b6a89151daa725c7b6035dad0efb3212
20260817170316|f17_legacy_whatsapp_acl_final|1|131d68b0874fd97d244d5cd871099485
20260817171043|cia_phase17_whatsapp_canary_control_v1|1|79bd19a8524d6fac57476f41926802b7
20260817171102|cia_phase17_whatsapp_mark_dispatch_v1|1|03c787f6b896d28e6bda04beb785162e
20260817171119|cia_phase17_whatsapp_provider_event_v1|1|07d484b90c016e6458f83a0f17c2706c
20260817171141|cia_phase17_whatsapp_inbound_v1|1|f994dc533d5684546f4f99ddfc620841
20260817173258|f5_ephemeral_chat_ingest_bridge_20260817|1|aded97b20848ec179d93bbe6d02b27b0
20260817174205|f5_ephemeral_chat_transfer_credentials_20260817|1|1b37b5f8a0c0ac85cf6aa9bbbb28cc83
20260817174233|sentinel_f9_inapp_owner_alerts|1|299570bb3d5fbc142b95c5203929a81d
20260817175028|f5_ephemeral_pgp_payload_transport_20260817|1|38e57010f77186d8cacc24b6a33e683f
20260817183507|cia_phase17_whatsapp_adapter_contracts_v1|1|7e56f3f474ae6bb3777a37bc7f0903d9
20260817203504|sentinel_f13_owner_hub|1|e403332d1c9f53efa0338f8f3585442c
20260817211133|f5_chat_gzip_bundle_tmp_20260817|1|78c355fa3654e6cefbb0e77237ed8a5e
20260817223004|wa_s14_web_push_notification_transport|1|28de08e3fa7f9dcba31b2b9c5d95b1f8
20260817225845|refresh_f5_ephemeral_bridge_20260817|1|d0fc14f7935485769d67899ff82b6b8f
